Project,Approximate Portfolio,Approximate Sub-Portfolio,Confidence,Classification Note
"RMS Tablets","Infrastructure, Cloud & Platform","Core Infrastructure / Platform",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Roche 8100 - AH Altamonte","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Roche Diagnostics - Cobas Infinity Edge Remote Service for Cobas Liat PCR System","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Roche Diagnostics Upg - Shawnee Mission","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Roche Digital Pathology OLD Ventana","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Roche Navify Infinity","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Roche Navify Pathology Hub","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Rocky Mountain Region","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
RomeRadiology-GordonMurrayRedmond,"Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Rosch Immunotherapy",Oncology,"Radiation / Medical Oncology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Rowny Systems, Inc - Antigen Plus","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Safepoint Medical - Safepoint Scientific Temperature Monitoring","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Sage - 50","Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Samsung NeuroLogica - RS 85 Prestige Samsung","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"ScottCare HL7","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Sectra - Sectra One","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Seetreat,"Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
SendGrid,"Infrastructure, Cloud & Platform","Core Infrastructure / Platform",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Seo Enterprises, Inc - Captavision+(software)","Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Services Systems","Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Shared Medical Services - Mobile Imaging","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"SharePoint Private Architecture Repo.agent","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Siemens - ARTIS icono biplane IR Pro","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Siemens Healthineers - Siemens Virtual Cockpit","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Siemens Healthineers - Syngo.Via Enterprise Connector","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Siemens Healthineers- SOMATOM go.Top Excel","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Siemens Healthineers- Syngo.via Enterprise Connector","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Siemens MR AI Neuro Triage","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Siemens Sharp FM","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Sigma Computing","Data & Analytics","BI / Analytics / Data",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
SimCapture,"Research & Academic","Research / Education",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Slot3D,"Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Slot3D - Slot3D","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
Softbank,"Infrastructure, Cloud & Platform","Core Infrastructure / Platform",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Solaborate Inc - Hellocare","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Solaire Medical - Ventaire Drying Cabinet","Facilities, Physical Security & Communications","Facilities / Safety / Communications",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Solarity Health","Health Information Management & Revenue Cycle","HIM / Coding / Revenue Integrity",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Solventum Cloud","Infrastructure, Cloud & Platform","Core Infrastructure / Platform",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Solventum Fluency Cloud","Infrastructure, Cloud & Platform","Core Infrastructure / Platform",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Sonex Health - UltraGuideCTR & UltraGuideTFR","Surgery & Perioperative","OR / Procedural Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"SOZO Digital Health Platform - Impedimed","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Spectrum Mobile Health Inc, dba Firstline Clinical - Firstline","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Spok,"Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
Sportsbox_3dGolf,"Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"StaffGarden - Roots","Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"STERIS - HexaVue Connect","Surgery & Perioperative","OR / Procedural Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"STERIS Corporation - TruFreeze","Surgery & Perioperative","OR / Procedural Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Stryker - Vocera Analytics","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Stryker - Vocera Voice","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Stryker Medical","Surgery & Perioperative","OR / Procedural Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Stryker Medical - Surgicount + Triton","Surgery & Perioperative","OR / Procedural Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
STS-Database,Cardiology,"Cardiovascular Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Sun Nuclear Corporation - PlanAI",Oncology,"Radiation / Medical Oncology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Sun Nuclear Corporation - SunCHECK",Oncology,"Radiation / Medical Oncology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
SURGAR,"Surgery & Perioperative","OR / Procedural Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Swisslog,"Facilities, Physical Security & Communications","Facilities / Safety / Communications",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Swisslog- Boxpicker","Pharmacy & Medication Management","Medication Management",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Symago,"Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Symplr - Hayes Clinical Evidence","Enterprise Clinical Applications","Clinical Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Synthesia - Studio 2.0","Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Sysdig Inc - Sysdig Security and Monitoring","Security, Identity & Compliance","Cybersecurity / IAM / Compliance",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Sysmex America Inc - XP-300","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Sysmex America Inc_CellaVision DC-1","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Tableau,"Data & Analytics","BI / Analytics / Data",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Tatango, Inc - Tatango","Digital Health & Consumer","Digital Front Door / Patient Engagement",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"TCS International","Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Technical Risk Assessment SNOW Questionnaire","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
TecsysBartender,"Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"TerumoBCT - TOMES","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Ticket Manager_DEGC","Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"TOBII Dynavox LLC - Boardmaker 7","Research & Academic","Research / Education",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Total Compliance Network - TestTrack","Security, Identity & Compliance","Cybersecurity / IAM / Compliance",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Trane - Tracer Ensemble Raspberry Pi","Facilities, Physical Security & Communications","Facilities / Safety / Communications",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Treadmetrix_Upper Extremity Motion Treadmetrics","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Trintech Inc - Trintech-Frontier Reconcilliation","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Turnitin - AHU","Research & Academic","Research / Education",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"UiPath Inc - UiPath","Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Unetixs Multilab Series II Roodra Vascular Ultrasound",Cardiology,"Cardiovascular Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"United Medical System (UMS)_MR Fusion Prostate Biopsy","Surgery & Perioperative","OR / Procedural Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Valcom IP6000","Facilities, Physical Security & Communications","Facilities / Safety / Communications",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Valiant AI - Deceased Donor Organ Assessment Model","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Varian - ETHOS",Oncology,"Radiation / Medical Oncology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Varian ARIA",Oncology,"Radiation / Medical Oncology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Varian Ethos",Oncology,"Radiation / Medical Oncology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
VaxCare,"Digital Health & Consumer","Digital Front Door / Patient Engagement",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Vedant,"Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Velsera - Velsera Clinical Genomics Workspace (CGW)",Oncology,"Radiation / Medical Oncology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
vendor-solution,"Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Vision Software-TechVST","Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Vital - Careassist","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Vital - ERAdvisors","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
VizAI,"Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Vizient - Data Connector","Data & Analytics","BI / Analytics / Data",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Volpara - Volpara","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Vyaire,"Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Vyaire Medical (CareFusion 211) - Vyntus One PFT and Vyntus","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Vyne,"Health Information Management & Revenue Cycle","HIM / Coding / Revenue Integrity",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Waters - Masslynx","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Waters Corporation - Clinical LIMS Interface (MassLynx)","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Watershed,"Research & Academic","Research / Education",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Welch Allyn RetinaVue","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Werfen - Hemochron","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Windows 365 - VDI","Infrastructure, Cloud & Platform","Core Infrastructure / Platform",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Workday,"Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Workday - Job desc comparison app","Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"z_ATE ATS Transition Standards","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"z_Epic 3rd Party Solutions","Enterprise Clinical Applications","Clinical Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"z_Naming Standards","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
z_prjlist,"Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Z_Test_Do not delete","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Zerto (Hewlett Packard Enterprise)","Infrastructure, Cloud & Platform","Core Infrastructure / Platform",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
